Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante
camia-hat-pdt;TALLA:Color:0;M:0;camia-hat-pdt_variante_2;3;50,84821429
camia-hat-pdt;TALLA:Color:0;L:0;camia-hat-pdt_variante_3;2;50,84821429
camisa-es-pdt;TALLA:Color:0;S :0;camisa-es-pdt_variante_1;2;50,84821429
camisa-es-pdt;TALLA:Color:0;M:0;camisa-es-pdt_variante_2;3;50,84821429
camisa-es-pdt;TALLA:Color:0;L:0;camisa-es-pdt_variante_3;2;50,84821429
camisa-ox-rayas-pdt;TALLA:Color:0;S :0;camisa-ox-rayas-pdt_variante_1;6;47,27678571
camisa-ox-rayas-pdt;TALLA:Color:0;M:0;camisa-ox-rayas-pdt_variante_2;8;47,27678571
camisa-ox-rayas-pdt;TALLA:Color:0;L:0;camisa-ox-rayas-pdt_variante_3;6;47,27678571
camisa-ox-rayas-az-pdt;TALLA:Color:0;S :0;camisa-ox-rayas-az-pdt_variante_1;6;47,27678571
camisa-ox-rayas-az-pdt;TALLA:Color:0;M:0;camisa-ox-rayas-az-pdt_variante_2;8;47,27678571
camisa-ox-rayas-az-pdt;TALLA:Color:0;L:0;camisa-ox-rayas-az-pdt_variante_3;6;47,27678571
camisa-pique-am-pdt;TALLA:Color:0;S :0;camisa-pique-am-pdt_variante_1;2;47,27678571
camisa-pique-am-pdt;TALLA:Color:0;M:0;camisa-pique-am-pdt_variante_2;3;47,27678571
camisa-pique-am-pdt;TALLA:Color:0;L:0;camisa-pique-am-pdt_variante_3;2;47,27678571
camisa-pique-vb-pdt;TALLA:Color:0;S :0;camisa-pique-vb-pdt_variante_1;2;47,27678571
camisa-pique-vb-pdt;TALLA:Color:0;M:0;camisa-pique-vb-pdt_variante_2;3;47,27678571
camisa-pique-vb-pdt;TALLA:Color:0;L:0;camisa-pique-vb-pdt_variante_3;2;47,27678571
camisa-cruzada-pdt;TALLA:Color:0;S :0;camisa-cruzada-pdt_variante_1;6;50,84821429
camisa-cruzada-pdt;TALLA:Color:0;M:0;camisa-cruzada-pdt_variante_2;8;50,84821429
camisa-cruzada-pdt;TALLA:Color:0;L:0;camisa-cruzada-pdt_variante_3;6;50,84821429
camisa-esp-am-pdt;TALLA:Color:0;S :0;camisa-esp-am-pdt_variante_1;2;50,84821429
camisa-esp-am-pdt;TALLA:Color:0;M:0;camisa-esp-am-pdt_variante_2;4;50,84821429
camisa-esp-am-pdt;TALLA:Color:0;L:0;camisa-esp-am-pdt_variante_3;2;50,84821429
camisa-esp-bl-pdt;TALLA:Color:0;S :0;camisa-esp-bl-pdt_variante_1;2;50,84821429
camisa-esp-bl-pdt;TALLA:Color:0;M:0;camisa-esp-bl-pdt_variante_2;4;50,84821429
camisa-esp-bl-pdt;TALLA:Color:0;L:0;camisa-esp-bl-pdt_variante_3;2;50,84821429
camisa-esp-ca-pdt;TALLA:Color:0;S :0;camisa-esp-ca-pdt_variante_1;2;50,84821429
camisa-esp-ca-pdt;TALLA:Color:0;M:0;camisa-esp-ca-pdt_variante_2;4;50,84821429
camisa-esp-ca-pdt;TALLA:Color:0;L:0;camisa-esp-ca-pdt_variante_3;2;50,84821429
camisa-med-pdt;TALLA:Color:0;S :0;camisa-med-pdt_variante_1;6;50,84821429
camisa-med-pdt;TALLA:Color:0;M:0;camisa-med-pdt_variante_2;8;50,84821429
camisa-med-pdt;TALLA:Color:0;L:0;camisa-med-pdt_variante_3;6;50,84821429
